Fujitsu LIFEBOOK WU2/C3
i3-8145u
WSL2 Ubuntu-20.04LTS
-O2 compile

### 32KB ###
[0.007452] my_memcpy_loop_1
[0.005917] my_memcpy_loop_2
[0.006578] my_memcpy_loop_4
[0.005919] my_memcpy_loop_6
[0.009295] my_memcpy_loop_8
[0.004738] my_memcpy_uint8_t_loop_1
[0.008759] my_memcpy_uint8_t_loop_2
[0.005806] my_memcpy_uint8_t_loop_4
[0.076654] my_memcpy_uint8_t_loop_6
[0.005967] my_memcpy_uint8_t_loop_8
[0.005986] my_memcpy_uint16_t_loop_1
[0.006146] my_memcpy_uint16_t_loop_2
[0.006283] my_memcpy_uint16_t_loop_4
[0.041245] my_memcpy_uint16_t_loop_6
[0.006251] my_memcpy_uint16_t_loop_8
[0.006015] my_memcpy_uint32_t_loop_1
[0.008740] my_memcpy_uint32_t_loop_2
[0.008755] my_memcpy_uint32_t_loop_4
[0.015915] my_memcpy_uint32_t_loop_6
[0.005803] my_memcpy_uint32_t_loop_8
[0.006026] my_memcpy_uint64_t_loop_1
[0.006181] my_memcpy_uint64_t_loop_2
[0.005837] my_memcpy_uint64_t_loop_4
[0.005819] my_memcpy_uint64_t_loop_6
[0.006150] my_memcpy_uint64_t_loop_8
[0.005842] my_memcpy___int128_loop_1
[0.005900] my_memcpy___int128_loop_2
[0.005827] my_memcpy___int128_loop_4
[0.009101] my_memcpy___int128_loop_6
[0.005568] my_memcpy___int128_loop_8
[0.004531] memcpy
### 256KB ###
[0.005882] my_memcpy_loop_1
[0.005791] my_memcpy_loop_2
[0.011738] my_memcpy_loop_4
[0.005797] my_memcpy_loop_6
[0.010631] my_memcpy_loop_8
[0.004769] my_memcpy_uint8_t_loop_1
[0.008738] my_memcpy_uint8_t_loop_2
[0.005874] my_memcpy_uint8_t_loop_4
[0.076397] my_memcpy_uint8_t_loop_6
[0.005874] my_memcpy_uint8_t_loop_8
[0.005853] my_memcpy_uint16_t_loop_1
[0.005815] my_memcpy_uint16_t_loop_2
[0.005896] my_memcpy_uint16_t_loop_4
[0.041353] my_memcpy_uint16_t_loop_6
[0.006008] my_memcpy_uint16_t_loop_8
[0.005923] my_memcpy_uint32_t_loop_1
[0.008653] my_memcpy_uint32_t_loop_2
[0.008747] my_memcpy_uint32_t_loop_4
[0.016231] my_memcpy_uint32_t_loop_6
[0.005823] my_memcpy_uint32_t_loop_8
[0.005931] my_memcpy_uint64_t_loop_1
[0.005930] my_memcpy_uint64_t_loop_2
[0.005801] my_memcpy_uint64_t_loop_4
[0.005866] my_memcpy_uint64_t_loop_6
[0.005835] my_memcpy_uint64_t_loop_8
[0.005776] my_memcpy___int128_loop_1
[0.005858] my_memcpy___int128_loop_2
[0.005848] my_memcpy___int128_loop_4
[0.009617] my_memcpy___int128_loop_6
[0.006078] my_memcpy___int128_loop_8
[0.004649] memcpy
### 2MB ###
[0.006380] my_memcpy_loop_1
[0.006667] my_memcpy_loop_2
[0.039841] my_memcpy_loop_4
[0.006018] my_memcpy_loop_6
[0.011090] my_memcpy_loop_8
[0.005211] my_memcpy_uint8_t_loop_1
[0.008636] my_memcpy_uint8_t_loop_2
[0.006032] my_memcpy_uint8_t_loop_4
[0.077053] my_memcpy_uint8_t_loop_6
[0.005970] my_memcpy_uint8_t_loop_8
[0.006075] my_memcpy_uint16_t_loop_1
[0.005971] my_memcpy_uint16_t_loop_2
[0.005966] my_memcpy_uint16_t_loop_4
[0.041456] my_memcpy_uint16_t_loop_6
[0.006067] my_memcpy_uint16_t_loop_8
[0.006008] my_memcpy_uint32_t_loop_1
[0.008695] my_memcpy_uint32_t_loop_2
[0.008689] my_memcpy_uint32_t_loop_4
[0.015880] my_memcpy_uint32_t_loop_6
[0.005993] my_memcpy_uint32_t_loop_8
[0.005977] my_memcpy_uint64_t_loop_1
[0.005979] my_memcpy_uint64_t_loop_2
[0.006059] my_memcpy_uint64_t_loop_4
[0.005979] my_memcpy_uint64_t_loop_6
[0.006021] my_memcpy_uint64_t_loop_8
[0.005970] my_memcpy___int128_loop_1
[0.005984] my_memcpy___int128_loop_2
[0.005999] my_memcpy___int128_loop_4
[0.009840] my_memcpy___int128_loop_6
[0.005980] my_memcpy___int128_loop_8
[0.005146] memcpy
### 16MB ###
[0.020251] my_memcpy_loop_1
[0.019839] my_memcpy_loop_2
[0.022874] my_memcpy_loop_4
[0.019718] my_memcpy_loop_6
[0.022052] my_memcpy_loop_8
[0.008932] my_memcpy_uint8_t_loop_1
[0.019868] my_memcpy_uint8_t_loop_2
[0.019919] my_memcpy_uint8_t_loop_4
[0.080231] my_memcpy_uint8_t_loop_6
[0.020037] my_memcpy_uint8_t_loop_8
[0.020096] my_memcpy_uint16_t_loop_1
[0.020038] my_memcpy_uint16_t_loop_2
[0.019922] my_memcpy_uint16_t_loop_4
[0.044160] my_memcpy_uint16_t_loop_6
[0.020099] my_memcpy_uint16_t_loop_8
[0.019933] my_memcpy_uint32_t_loop_1
[0.019874] my_memcpy_uint32_t_loop_2
[0.020112] my_memcpy_uint32_t_loop_4
[0.024340] my_memcpy_uint32_t_loop_6
[0.019892] my_memcpy_uint32_t_loop_8
[0.019915] my_memcpy_uint64_t_loop_1
[0.019995] my_memcpy_uint64_t_loop_2
[0.019862] my_memcpy_uint64_t_loop_4
[0.019863] my_memcpy_uint64_t_loop_6
[0.020135] my_memcpy_uint64_t_loop_8
[0.019898] my_memcpy___int128_loop_1
[0.020082] my_memcpy___int128_loop_2
[0.019805] my_memcpy___int128_loop_4
[0.021579] my_memcpy___int128_loop_6
[0.019834] my_memcpy___int128_loop_8
[0.008991] memcpy
