Fujitsu LIFEBOOK WU2/C3
i3-8145u
WSL2 Ubuntu-20.04LTS
-O2 compile

### 32KB ###
[0.010991] my_memcpy_loop_1
[0.006746] my_memcpy_loop_2
[0.006494] my_memcpy_loop_4
[0.006981] my_memcpy_loop_6
[0.006751] my_memcpy_loop_8
[0.086756] my_memcpy_uint8_t_loop_1
[0.076279] my_memcpy_uint8_t_loop_2
[0.075981] my_memcpy_uint8_t_loop_4
[0.075899] my_memcpy_uint8_t_loop_6
[0.076013] my_memcpy_uint8_t_loop_8
[0.041648] my_memcpy_uint16_t_loop_1
[0.041027] my_memcpy_uint16_t_loop_2
[0.041129] my_memcpy_uint16_t_loop_4
[0.041077] my_memcpy_uint16_t_loop_6
[0.040988] my_memcpy_uint16_t_loop_8
[0.019416] my_memcpy_uint32_t_loop_1
[0.018697] my_memcpy_uint32_t_loop_2
[0.018545] my_memcpy_uint32_t_loop_4
[0.018462] my_memcpy_uint32_t_loop_6
[0.018386] my_memcpy_uint32_t_loop_8
[0.009901] my_memcpy_uint64_t_loop_1
[0.009852] my_memcpy_uint64_t_loop_2
[0.009883] my_memcpy_uint64_t_loop_4
[0.009874] my_memcpy_uint64_t_loop_6
[0.009986] my_memcpy_uint64_t_loop_8
[0.005660] my_memcpy___int128_loop_1
[0.006050] my_memcpy___int128_loop_2
[0.005498] my_memcpy___int128_loop_4
[0.005690] my_memcpy___int128_loop_6
[0.005983] my_memcpy___int128_loop_8
[0.004747] memcpy
### 256KB ###
[0.007273] my_memcpy_loop_1
[0.006052] my_memcpy_loop_2
[0.006471] my_memcpy_loop_4
[0.006424] my_memcpy_loop_6
[0.005863] my_memcpy_loop_8
[0.084910] my_memcpy_uint8_t_loop_1
[0.076167] my_memcpy_uint8_t_loop_2
[0.076220] my_memcpy_uint8_t_loop_4
[0.076484] my_memcpy_uint8_t_loop_6
[0.077039] my_memcpy_uint8_t_loop_8
[0.045914] my_memcpy_uint16_t_loop_1
[0.068465] my_memcpy_uint16_t_loop_2
[0.041203] my_memcpy_uint16_t_loop_4
[0.041432] my_memcpy_uint16_t_loop_6
[0.041392] my_memcpy_uint16_t_loop_8
[0.021158] my_memcpy_uint32_t_loop_1
[0.019149] my_memcpy_uint32_t_loop_2
[0.019190] my_memcpy_uint32_t_loop_4
[0.019253] my_memcpy_uint32_t_loop_6
[0.019228] my_memcpy_uint32_t_loop_8
[0.010185] my_memcpy_uint64_t_loop_1
[0.010134] my_memcpy_uint64_t_loop_2
[0.010122] my_memcpy_uint64_t_loop_4
[0.010153] my_memcpy_uint64_t_loop_6
[0.010146] my_memcpy_uint64_t_loop_8
[0.005800] my_memcpy___int128_loop_1
[0.005816] my_memcpy___int128_loop_2
[0.005827] my_memcpy___int128_loop_4
[0.005822] my_memcpy___int128_loop_6
[0.005792] my_memcpy___int128_loop_8
[0.004952] memcpy
### 2MB ###
[0.007556] my_memcpy_loop_1
[0.005979] my_memcpy_loop_2
[0.006108] my_memcpy_loop_4
[0.005998] my_memcpy_loop_6
[0.006027] my_memcpy_loop_8
[0.083081] my_memcpy_uint8_t_loop_1
[0.077205] my_memcpy_uint8_t_loop_2
[0.077028] my_memcpy_uint8_t_loop_4
[0.077159] my_memcpy_uint8_t_loop_6
[0.076772] my_memcpy_uint8_t_loop_8
[0.043061] my_memcpy_uint16_t_loop_1
[0.041484] my_memcpy_uint16_t_loop_2
[0.041843] my_memcpy_uint16_t_loop_4
[0.041611] my_memcpy_uint16_t_loop_6
[0.042024] my_memcpy_uint16_t_loop_8
[0.020429] my_memcpy_uint32_t_loop_1
[0.020184] my_memcpy_uint32_t_loop_2
[0.020186] my_memcpy_uint32_t_loop_4
[0.020298] my_memcpy_uint32_t_loop_6
[0.020176] my_memcpy_uint32_t_loop_8
[0.010600] my_memcpy_uint64_t_loop_1
[0.010658] my_memcpy_uint64_t_loop_2
[0.010643] my_memcpy_uint64_t_loop_4
[0.010673] my_memcpy_uint64_t_loop_6
[0.010631] my_memcpy_uint64_t_loop_8
[0.006148] my_memcpy___int128_loop_1
[0.005955] my_memcpy___int128_loop_2
[0.006056] my_memcpy___int128_loop_4
[0.006050] my_memcpy___int128_loop_6
[0.005960] my_memcpy___int128_loop_8
[0.005195] memcpy
### 16MB ###
[0.020091] my_memcpy_loop_1
[0.019861] my_memcpy_loop_2
[0.019809] my_memcpy_loop_4
[0.019696] my_memcpy_loop_6
[0.019837] my_memcpy_loop_8
[0.083313] my_memcpy_uint8_t_loop_1
[0.078806] my_memcpy_uint8_t_loop_2
[0.079301] my_memcpy_uint8_t_loop_4
[0.079214] my_memcpy_uint8_t_loop_6
[0.079407] my_memcpy_uint8_t_loop_8
[0.043992] my_memcpy_uint16_t_loop_1
[0.043840] my_memcpy_uint16_t_loop_2
[0.044335] my_memcpy_uint16_t_loop_4
[0.043522] my_memcpy_uint16_t_loop_6
[0.043692] my_memcpy_uint16_t_loop_8
[0.027437] my_memcpy_uint32_t_loop_1
[0.026673] my_memcpy_uint32_t_loop_2
[0.058466] my_memcpy_uint32_t_loop_4
[0.026542] my_memcpy_uint32_t_loop_6
[0.027765] my_memcpy_uint32_t_loop_8
[0.022753] my_memcpy_uint64_t_loop_1
[0.021541] my_memcpy_uint64_t_loop_2
[0.021334] my_memcpy_uint64_t_loop_4
[0.021331] my_memcpy_uint64_t_loop_6
[0.021264] my_memcpy_uint64_t_loop_8
[0.020177] my_memcpy___int128_loop_1
[0.020007] my_memcpy___int128_loop_2
[0.019849] my_memcpy___int128_loop_4
[0.019989] my_memcpy___int128_loop_6
[0.019867] my_memcpy___int128_loop_8
[0.008747] memcpy
